RA,DEC
236.5877,-0.5544444
237.4543,-0.4258056
239.7823,-0.5531389
240.3063,-0.5865555
241.4993,-0.4705278
242.3648,-0.5549445
242.3907,-0.4196945
242.9548,-0.4464722
244.141,-0.5888333
246.3143,-0.5409445
240.37,-0.08638889
240.8257,-0.03605556
240.8885,-0.1278889
241.3452,-0.03838889
241.5513,-0.1304722
241.6602,-0.1555556
242.1321,-0.06444445
242.2195,-0.1717222
242.7198,-0.005416667
242.8988,-0.01544444
243.6035,-0.2070833
247.9668,-0.09080555
237.6796,0.2191667
238.607,0.2619444
239.0925,0.3710555
239.3895,0.3161389
239.8157,0.3698611
240.2115,0.3167778
241.8014,0.2510833
242.1476,0.3645556
242.6456,0.3016667
243.9455,0.2301944
245.2719,0.2106389
245.2567,0.40525
245.9437,0.2859722
249.8207,0.4102778
238.7633,0.6345834
242.3989,0.6651111
165.5551,-1.112917
177.3481,-1.083778
179.8902,-1.050722
188.0403,-1.095278
192.0633,-1.065028
170.9377,-0.8380556
174.3905,-0.8149722
177.3746,-0.7984167
177.9626,-0.7064167
184.1476,-0.7098055
184.5589,-0.7575555
190.824,-0.6442778
193.2218,-0.8227222
201.3096,-0.7147222
211.9212,-0.7171389
217.3447,-0.8275278
217.3448,-0.8280278
219.9843,-0.7441389
220.0217,-0.7225834
229.6058,-0.6399444
239.4458,-0.6420278
240.4308,-0.6640834
241.7331,-0.6725278
242.3373,-0.6445833
168.5687,-0.22275
180.0319,-0.2959445
184.9071,-0.3256111
193.912,-0.2648889
196.311,-0.3733056
198.1348,-0.2908611
209.1142,-0.2875
212.7932,-0.2860556
217.8892,-0.2099722
219.9457,-0.3690556
223.3534,-0.3253333
227.6968,-0.3483056
232.3082,-0.3735556
232.5336,-0.3613056
232.6812,-0.3796111
233.0509,-0.2959167
234.0645,-0.3493056
238.7336,-0.3368333
239.3479,-0.4114445
240.2465,-0.3443333
240.9483,-0.29775
241.5032,-0.2107222
241.6444,-0.3034167
241.8833,-0.2985833
242.027,-0.2251389
242.9833,-0.3871389
243.2733,-0.3034444
243.9545,-0.3065833
245.1087,-0.3214722
247.0311,-0.2952778
168.854,0.1212778
188.1889,0.1135556
188.1436,0.1116389
224.5034,0.1991389
231.6817,0.05780556
239.0343,0.2044444
240.8288,0.02427778
240.922,0.1529444
240.978,0.1363611
241.7518,0.03447222
242.0937,0.009166666
242.1937,0.2075
242.922,0.06130556
243.0772,0.1903333
243.1181,0.20325
243.8047,0.1449444
244.6682,0.002166667
245.1198,0.17425
245.4337,0.182
246.0604,0.004888889
246.5552,0.03816667
249.3057,0.03472222
182.5694,0.6265833
185.2738,0.5528333
195.4188,0.4765833
207.6443,0.5140556
217.1565,0.5528055
217.1613,0.5547222
235.5784,0.4773611
238.182,0.6052778
238.1817,0.6049167
238.9337,0.5459167
239.1076,0.4731945
240.1727,0.5552222
242.7331,0.4428333
244.2474,0.4805833
244.3302,0.5950834
244.3927,0.5339722
245.4122,0.5981389
245.93,0.4478333
246.2525,0.4408333
249.8106,0.4274722
171.2848,0.98875
173.496,0.9583055
185.639,1.020333
187.3862,0.8395278
224.4714,0.9343889
33.66575,12.14544
29.08096,13.00942
10.92933,14.65817
17.373,14.35481
15.60112,14.81628
23.24817,14.37319
27.15542,14.04044
28.93075,13.90578
21.22429,15.03567
30.01625,14.12
30.71717,14.11319
31.27042,14.08314
7.284875,15.89911
7.609833,16.02658
9.753,14.07969
19.99367,13.60425
27.28679,13.05903
27.33546,13.01456
32.62533,12.32328
17.15071,14.07425
17.2855,14.23283
27.1395,13.43072
30.418,13.06911
27.15788,13.76892
10.93425,15.33739
16.83775,14.93806
21.35254,14.63119
24.10163,14.5295
18.05796,15.27714
23.49096,14.94514
32.66813,14.14817
10.25183,16.10825
15.88683,15.87114
16.78454,15.76717
22.14571,15.44386
28.97683,14.9345
31.35825,14.59422
32.96004,14.46853
47.40704,-8.453944
48.09254,-8.2465
48.35408,-8.213667
48.34267,-8.230833
50.28283,-8.049139
56.16125,-7.333305
58.78196,-6.981111
38.64042,-8.950361
48.59296,-7.761972
59.98342,-6.412778
40.29654,-8.274111
55.91567,-6.356306
44.84887,-7.395722
47.15604,-7.22475
62.77375,-5.003333
40.098,-7.515389
42.79213,-6.706278
51.01017,-5.924528
155.0525,-3.13675
155.1866,-3.055444
155.935,-3.169278
156.3291,-3.184778
156.8313,-3.184583
156.9311,-3.176833
157.2207,-3.245944
157.4081,-3.18975
157.5248,-3.139917
157.5684,-3.242639
158.4076,-3.098111
158.4865,-3.117972
158.913,-3.274083
159.0742,-3.149611
160.4815,-3.296472
160.802,-3.287139
162.1006,-3.313444
175.0482,-3.355278
178.2805,-3.383472
178.311,-3.396833
185.975,-3.442917
186.0698,-3.444583
188.2421,-3.345278
195.2781,-3.377028
200.911,-3.358667
155.1501,-2.619861
155.3263,-2.638139
155.3967,-2.674139
156.3091,-2.647444
156.5446,-2.826222
157.5142,-2.819778
157.4642,-2.838
158.0286,-2.71125
158.098,-2.754861
159.1625,-2.868611
160.1546,-2.80575
160.4653,-2.71225
162.128,-2.771389
162.5233,-2.84675
162.5447,-2.809695
164.1038,-2.897667
172.1315,-2.948722
172.7407,-2.873917
172.9907,-2.921944
174.2795,-2.881194
177.8256,-3.108583
187.0925,-3.1125
188.8498,-2.962
190.3454,-3.057833
155.1119,-2.314
155.3457,-2.256194
155.3482,-2.356417
156.7996,-2.401917
158.006,-2.298417
158.2397,-2.431472
158.2998,-2.39275
159.6358,-2.329778
163.9828,-2.4665
164.189,-2.410944
164.1331,-2.475861
164.5035,-2.52275
179.408,-2.548833
184.4098,-2.587083
200.2996,-2.600111
155.1955,-1.941056
157.0763,-1.876028
160.9277,-1.901056
162.3807,-1.92925
164.3082,-1.977667
175.751,-2.106028
179.8808,-2.169417
183.2406,-2.238806
191.8421,-2.2555
155.5874,-1.357806
155.5867,-1.437639
155.6186,-1.360972
156.0262,-1.535222
158.3768,-1.50925
158.4836,-1.4515
159.0089,-1.431972
159.408,-1.61275
161.1207,-1.615583
161.8698,-1.606972
162.4689,-1.575389
178.3097,-1.714222
185.3342,-1.767556
192.4428,-1.671417
